;;;;;;;;;;;;;
IZDELEK-ime;IZDELEK-id;KOLIÈINA;CENA;VRSTA-ime;VRSTA-id;TRGOVINA-ime;TRGOVINA-id;TRGOVINA-naslov;PODJETJE-ime;PODJETJE-id;PODJETJE-naslov;PODJETJE-tel.št.;
korenje rumeno;S153;1kg;1,29 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
bio korenje;S156;1kg;1,99 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
šampinjoni;S177;1kg;3,94 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
šampinjoni;S180;1kg;5,56 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
šampinjoni, mešani beli in rjavi;S183;1kg;4,18 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;Gojenje gob Krevh Jasna s.p.;284;Nad izviri 26, 2204 Miklavž, Slovenija;02 629 23 17;
bukov ostrigar;S186;1kg;6,76 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
bio šitake;S189;1kg;17,16 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
buèe hokaido;S192;1kg;2,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
melancani;S195;1kg;1,00 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
bio buèke spar natur*pur;S198;1kg;4,38 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
buèke;S201;1kg;1,00 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
buèke okrogle;S204;1kg;1,49 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
bio kumare spar natur*pur;S207;1kg;5,98 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;SPAR Slovenija d.o.o.;779;Letališka cesta 26, 1000 Ljubljana, Slovenija;080 82 44;
kumare;S210;1kg;1,00 €;zelenjava;3480;Spar;12009;Letališka cesta 26, 1000 Ljubljana, Slovenija;razlièni dobavitelji;100;/;/;
